facility_name,facility_id,state,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
ADVENTIST HEALTH AND RIDEOUT,50133,CA,READM-30-AMI,221.0,,1.036,13.6625,13.1872,32.0,07/01/2021,06/30/2024
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-HIP-KNEE,,,0.8656,5.5579,6.4208,,07/01/2021,06/30/2024
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-CABG,,1.0,,,,,07/01/2021,06/30/2024
ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-HF,544.0,,0.9524,19.0317,19.9835,100.0,07/01/2021,06/30/2024
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,50055,CA,READM-30-HF,190.0,,1.0113,18.5261,18.3184,36.0,07/01/2021,06/30/2024
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-COPD,,1.0,,,,,07/01/2021,06/30/2024
COMMUNITY REGIONAL MEDICAL CENTER,50060,CA,READM-30-HF,546.0,,1.0863,21.773,20.0439,125.0,07/01/2021,06/30/2024
DOCTORS HOSPITAL OF MANTECA,50118,CA,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
EL CENTRO REGIONAL MEDICAL CENTER,50045,CA,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
ENLOE HEALTH,50039,CA,READM-30-HIP-KNEE,594.0,,0.8092,3.9386,4.8671,21.0,07/01/2021,06/30/2024
GROSSMONT HOSPITAL,50026,CA,READM-30-PN,609.0,,1.0397,17.1318,16.4771,107.0,07/01/2021,06/30/2024
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,CA,READM-30-HF,227.0,,1.1092,23.0137,20.7471,60.0,07/01/2021,06/30/2024
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-PN,,1.0,,,,,07/01/2021,06/30/2024
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-AMI,,1.0,,,,,07/01/2021,06/30/2024
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-AMI,,,1.0337,15.5998,15.0911,,07/01/2021,06/30/2024
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,CA,READM-30-COPD,,1.0,,,,,07/01/2021,06/30/2024
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,50073,CA,READM-30-PN,,,0.9979,15.9276,15.9612,,07/01/2021,06/30/2024
KAWEAH HEALTH MEDICAL CENTER,50057,CA,READM-30-HIP-KNEE,,,0.8767,4.8991,5.5883,,07/01/2021,06/30/2024
KAWEAH HEALTH MEDICAL CENTER,50057,CA,READM-30-AMI,271.0,,0.9011,11.8958,13.2012,27.0,07/01/2021,06/30/2024
LOMPOC VALLEY MEDICAL CENTER,50110,CA,READM-30-AMI,,1.0,,,,,07/01/2021,06/30/2024
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-HF,,,0.9965,20.7391,20.812,,07/01/2021,06/30/2024
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-PN,,,0.9649,14.016,14.5263,,07/01/2021,06/30/2024
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-HIP-KNEE,,,1.0051,3.7726,3.7534,,07/01/2021,06/30/2024
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-COPD,,,1.0041,16.3144,16.2481,,07/01/2021,06/30/2024
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
OROVILLE HOSPITAL,50030,CA,READM-30-PN,833.0,,1.4255,24.4714,17.1671,229.0,07/01/2021,06/30/2024
OROVILLE HOSPITAL,50030,CA,READM-30-COPD,99.0,,1.2545,26.0985,20.8044,44.0,07/01/2021,06/30/2024
OROVILLE HOSPITAL,50030,CA,READM-30-HF,285.0,,1.3606,26.1974,19.2546,98.0,07/01/2021,06/30/2024
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-COPD,93.0,,0.9555,16.4884,17.2561,12.0,07/01/2021,06/30/2024
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-CABG,,,0.9585,9.9389,10.3691,,07/01/2021,06/30/2024
PARADISE VALLEY HOSPITAL,50024,CA,READM-30-CABG,,5.0,,,,,07/01/2021,06/30/2024
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,50102,CA,READM-30-AMI,,1.0,,,,,07/01/2021,06/30/2024
PENINSULA MEDICAL CENTER,50007,CA,READM-30-AMI,202.0,,0.9318,13.181,14.1457,23.0,07/01/2021,06/30/2024
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,50078,CA,READM-30-HIP-KNEE,,1.0,,,,,07/01/2021,06/30/2024
PROVIDENCE ST JOSEPH HOSPITAL,50006,CA,READM-30-AMI,204.0,,0.9055,12.2502,13.5288,20.0,07/01/2021,06/30/2024
